Altium Designer Pick and Place Locations
D:\Altium_WorkSpace\Satellite_COMM_HW_V1.0\1_COMM_BOARD\01_DESIGN\Project Outputs for PCB_Project_Template\Pick Place for PAY-IF_R100.csv

========================================================================================================================
File Design Information:

Date:       18/09/25
Time:       13:46
Revision:   0011805321ca20a02b6c0d132b366a7d4b0f1ed8
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"J4","5040500691","TopLayer","5040500691","3446.968","944.882","270","1.50mm Pitch, Pico-Lock PCB Header, Single Row, Right-Angle, Surface Mount, Gold (Au) Plating, Positive Lock, 6 Circuits, Tape and Reel"
"R100","2.2k","TopLayer","RES_C_1608X60","1371.102","304.961","90","RES"
"R90","0R","BottomLayer","RES_C_1608X60","3235.000","1815.000","180","RES"
"R89","0R","BottomLayer","RES_C_1608X60","3235.000","1875.000","180","RES"
"LED4","150060RS75000","TopLayer","LED_0603","1371.594","175.000","270",""
"J6","GMCB05321121BEU","TopLayer","AMPHENOL_GMCB05321121BEU","1830.709","193.681","0","Micro USB 2.0 Type B Receptacle Right Angle SMT, Tape and Reel Packaging"
"J4B","532610671","BottomLayer","MOLEX_532610671","3433.976","944.882","270",""
"TP13","Test Point","TopLayer","TESTPOINT","826.029","3310.000","90","Test Point 0.3mm"
"TP12","Test Point","TopLayer","TESTPOINT","2231.029","3310.000","90","Test Point 0.3mm"
"C48","1uF/25V","TopLayer","CAP_C_1608X80","1496.029","3280.000","180","CAP_Chip"
"U1","STM32H745XIH6","TopLayer","BGA265C80P17X17_1400X1400X110N","1797.994","1288.936","0","High-performance and DSP with DP-FPU, Arm Cortex-M7 + Cortex-M4 MCU with 2MBytes of Flash memory, 1MB RAM, 480 MHz CPU, Art Accelerator, L1 cache, external memory interface, large set of peripherals, SMPS"
"R9","22R","TopLayer","RES_C_1608X60","2655.001","1844.488","90","RES"
"R10","22R","TopLayer","RES_C_1608X60","2725.715","1844.488","90","RES"
"R11","22R","TopLayer","RES_C_1608X60","2796.429","1844.488","90","RES"
"R12","22R","TopLayer","RES_C_1608X60","2867.143","1844.488","90","RES"
"R13","22R","TopLayer","RES_C_1608X60","2937.857","1844.488","90","RES"
"R14","22R","TopLayer","RES_C_1608X60","3008.572","1844.488","90","RES"
"R15","22R","TopLayer","RES_C_1608X60","3079.286","1844.488","90","RES"
"R16","22R","TopLayer","RES_C_1608X60","3150.000","1844.488","90","RES"
"R19","0R","BottomLayer","RES_C_1608X60","2795.000","1985.552","180","RES"
"U3","MTFC32GAZAQDW-AAT","TopLayer","BGA_100_C_100P_10X17_1400X1800X150","2902.165","2329.961","0",""
"C47","4.7uF/16V","TopLayer","CAP_C_1608X80","2220.000","1500.000","0","CAP_Chip"
"C46","2.2uF/10V","TopLayer","CAP_C_1608X80","1903.265","890.492","90","CAP_Chip"
"C32","0.1uF/16V","TopLayer","CAP_C_1608X80","624.413","1471.575","270","CAP_Chip"
"C31","0.1uF/16V","TopLayer","CAP_C_1608X80","789.413","911.575","270","CAP_Chip"
"U4","AS3004204-0108X0PSAY","TopLayer","SOIC127P790X216-8N","707.543","1191.575","90","MRAM Avalanche High Performance Serial P-SRAM 4Mb in SOIC8 package with QSPI - 108MHz interface, 3V, -40 C to 105 C"
"R99","22R","TopLayer","RES_C_1608X60","789.905","1471.575","90","RES"
"R98","22R","TopLayer","RES_C_1608X60","734.413","1471.575","90","RES"
"R97","22R","TopLayer","RES_C_1608X60","734.413","911.575","90","RES"
"R96","22R","TopLayer","RES_C_1608X60","679.413","1471.575","90","RES"
"R95","22R","TopLayer","RES_C_1608X60","679.413","911.575","90","RES"
"R94","22R","TopLayer","RES_C_1608X60","624.413","911.575","90","RES"
"R93","100R (DNP)","BottomLayer","RES_C_1608X60","2783.425","3136.496","0","RES"
"R92","100R (DNP)","BottomLayer","RES_C_1608X60","3103.425","3136.496","0","RES"
"R91","10k","TopLayer","RES_C_1608X60","2191.029","2990.000","90","RES"
"R88","1k","TopLayer","RES_C_1608X60","2276.029","2990.000","90","RES"
"Q1","MMBT2222A","TopLayer","SOT95P240X120-3N","2231.029","3165.000","90","BJT, SOT-23, 40V, 600mA, NPN, 0.25W, 150°C"
"C27","0.1uF/16V","BottomLayer","CAP_C_1608X80","3010.000","2045.000","180","CAP_Chip"
"U16","TC1047AVNBTR","BottomLayer","SOT-23_MC_MCH","1467.812","2848.501","180","No Description Available"
"R163","22R","TopLayer","RES_C_1608X60","1518.362","890.492","90","RES"
"C99","0.1uF/16V","BottomLayer","CAP_C_1608X80","1576.029","2845.000","270","CAP_Chip"
"C98","0.1uF/16V","TopLayer","CAP_C_1608X80","1463.362","890.492","90","CAP_Chip"
"C97","0.1uF/16V","BottomLayer","CAP_C_1608X80","3393.217","1420.000","270","CAP_Chip"
"C30","0.1uF/16V","BottomLayer","CAP_C_1608X80","2930.000","2555.000","270","CAP_Chip"
"J3B","0532610971","BottomLayer","0532610971","2874.016","3315.866","0","CONN HEADER SMD R/A 9POS 1.25MM"
"J2B","0532610971","BottomLayer","0532610971","3433.839","1889.764","270","CONN HEADER SMD R/A 9POS 1.25MM"
"J1B","532610671","BottomLayer","MOLEX_532610671","3433.976","2716.535","270",""
"Hole4","hole_space","TopLayer","HOLE_SPACE","140.551","3247.224","0",""
"Hole3","hole_space","TopLayer","HOLE_SPACE","140.551","347.224","0",""
"Hole2","hole_space","TopLayer","HOLE_SPACE","3515.748","3347.224","0",""
"Hole1","hole_space","TopLayer","HOLE_SPACE","3515.748","197.618","0",""
"H2","ESQ-126-14-G-D","TopLayer","SAMTEC_ESQ-126-14-G-D","190.551","1796.457","90",""
"H1","ESQ-126-14-G-D","TopLayer","SAMTEC_ESQ-126-14-G-D","390.551","1796.457","90",""
"J2","5040500991","TopLayer","5040500991","3446.968","1889.764","270","Connector Header Surface Mount, Right Angle 9 position 0.059" (1.50mm)"
"J5BK","61301021121","TopLayer","61301021121","2679.000","419.000","180","WR-PHD Pin Header, THT, Vertical, pitch 2.54mm, 2 Row, 10P"
"J5","009159010061911","TopLayer","009159010061911","2677.165","164.819","90","pads for STLink V3 minie"
"J1","5040500591","TopLayer","5040500591","3446.968","2716.535","270","1.50mm Pitch, Pico-Lock PCB Header, Single Row, Right-Angle, Surface Mount, Gold (Au) Plating, Positive Lock, 5 Circuits, Tape and Reel"
"J3","5040500991","TopLayer","5040500991","2874.016","3328.858","0","Connector Header Surface Mount, Right Angle 9 position 0.059" (1.50mm)"
"U18","TC1047AVNBTR","BottomLayer","SOT-23_MC_MCH","3285.000","1423.501","180","No Description Available"
"U17","TC1047AVNBTR","BottomLayer","SOT-23_MC_MCH","655.000","1786.499","0","No Description Available"
"R165","22R","TopLayer","RES_C_1608X60","1738.362","890.492","90","RES"
"R164","22R","TopLayer","RES_C_1608X60","1628.128","890.492","90","RES"
"C103","0.1uF/16V","TopLayer","CAP_C_1608X80","1683.362","890.492","90","CAP_Chip"
"C100","0.1uF/16V","TopLayer","CAP_C_1608X80","1573.362","890.492","90","CAP_Chip"
"C101","0.1uF/16V","BottomLayer","CAP_C_1608X80","546.783","1790.000","90","CAP_Chip"
"R27","22R","BottomLayer","RES_C_1608X60","1265.000","1140.000","180","RES"
"TP1","Test Point","TopLayer","TESTPOINT","1671.029","3310.000","180","Test Point 0.3mm"
"U10","TPS5430DDAR","TopLayer","CONV_TPS5430DDAR","1490.438","3079.409","90","5.5V to 36V Input, 3A, 500kHz Step-Down Converter"
"X2","XT1312HHRXX32K76E","TopLayer","XT1312HHRXX32K76E","1374.391","1495.877","270","32.768 kHz +/-20ppm Crystal 12pF 70 kOhms 2-SMD, No Lead , -40C ~ 85C"
"X1","ECS-250-12-33Q-JES-TR","TopLayer","XTAL_ECS-250-12-33Q-JES-TR","1365.000","1282.795","0","Crystal, 25 MHz, -30 to 85 degC, 3.2 x 2.5 x 0.9 mm SMD"
"U15","TPL5010DDCR","TopLayer","TPL5010DDCR","2226.339","777.913","90","OSC PROG TIMER TSOT23-6"
"U14","IS66WVS4M8BLL-104NLI","TopLayer","SOIC8_150MIL_N_ISI","701.480","2035.827","90","No Description Available"
"U9","TPS259470ARPWR","TopLayer","VQFN-HR-10","1934.927","3153.065","90",""
"U7","DS90LV011AQ-Q1","BottomLayer","DS90LV011AQ-Q1","2783.425","3036.496","0","Automotive LVDS Differential Driver"
